airport_id;ano;total_movimento;cenario;conexao;demanda_liquida_aeroporto;uf
SBBV;2016;283898,0;Observado;0,0;283898,0;RR
SBBV;2017;284109,0;Observado;0,0;284109,0;RR
SBBV;2018;310825,0;Observado;0,0;310825,0;RR
SBBV;2019;345997,0;Observado;0,0;345997,0;RR
SBBV;2020;192055,0;Observado;0,0;192055,0;RR
SBBV;2021;284423,0;Observado;0,0;284423,0;RR
SBBV;2022;369111,0;Observado;0,0;369111,0;RR
SBBV;2023;397157,0;Observado;0,0;397157,0;RR
SBBV;2024;451337,0;Observado;0,0;451337,0;RR
SBBW;2004;30,0;Observado;0,0;30,0;MT
SBBW;2005;382,0;Observado;0,0;382,0;MT
SBBW;2006;383,0;Observado;0,0;383,0;MT
SBBW;2007;18,0;Observado;0,0;18,0;MT
SBBW;2012;54,0;Observado;0,0;54,0;MT
SBBW;2013;0,0;Observado;0,0;0,0;MT
SBBW;2014;0,0;Observado;0,0;0,0;MT
SBBW;2016;4189,0;Observado;0,0;4189,0;MT
SBBW;2017;21738,0;Observado;0,0;21738,0;MT
SBBW;2018;16138,0;Observado;0,0;16138,0;MT
SBBW;2019;12688,0;Observado;0,0;12688,0;MT
SBBW;2020;3070,0;Observado;0,0;3070,0;MT
SBBW;2021;2739,0;Observado;0,0;2739,0;MT
SBBW;2022;2281,0;Observado;0,0;2281,0;MT
SBBW;2023;1339,0;Observado;0,0;1339,0;MT
SBBW;2024;1827,0;Observado;0,0;1827,0;MT
SBCA;2004;37733,0;Observado;0,0;37733,0;PR
SBCA;2005;36605,0;Observado;0,0;36605,0;PR
SBCA;2006;39669,0;Observado;0,0;39669,0;PR
SBCA;2007;56705,0;Observado;0,0;56705,0;PR
SBCA;2008;74158,0;Observado;0,0;74158,0;PR
SBCA;2009;76295,0;Observado;0,0;76295,0;PR
SBCA;2010;69565,0;Observado;0,0;69565,0;PR
SBCA;2011;48935,0;Observado;0,0;48935,0;PR
