ICAO;Ano;Cenario;Sentido;Natureza;Passageiros
SBGR;2049;Tendencial;Desembarque;Internacional;12788661,14
SBGR;2050;Tendencial;Desembarque;Internacional;13006448,77
SBGR;2051;Tendencial;Desembarque;Internacional;13227684,94
SBGR;2052;Tendencial;Desembarque;Internacional;13452449,42
SBGR;2053;Tendencial;Desembarque;Internacional;13680778,02
SBGR;2054;Tendencial;Desembarque;Internacional;13912729,92
SBGL;2025;Tendencial;Desembarque;Internacional;2891726,463
SBGL;2026;Tendencial;Desembarque;Internacional;2922067,688
SBGL;2027;Tendencial;Desembarque;Internacional;2962412,648
SBGL;2028;Tendencial;Desembarque;Internacional;3003733,04
SBGL;2029;Tendencial;Desembarque;Internacional;3045552,484
SBGL;2030;Tendencial;Desembarque;Internacional;3088277,793
SBGL;2031;Tendencial;Desembarque;Internacional;3131642,744
SBGL;2032;Tendencial;Desembarque;Internacional;3175956,844
SBGL;2033;Tendencial;Desembarque;Internacional;3221354,289
SBGL;2034;Tendencial;Desembarque;Internacional;3267546,666
SBGL;2035;Tendencial;Desembarque;Internacional;3314356,462
SBGL;2036;Tendencial;Desembarque;Internacional;3362074,261
SBGL;2037;Tendencial;Desembarque;Internacional;3410750,273
SBGL;2038;Tendencial;Desembarque;Internacional;3460355,516
SBGL;2039;Tendencial;Desembarque;Internacional;3510571,701
SBGL;2040;Tendencial;Desembarque;Internacional;3561797,754
SBGL;2041;Tendencial;Desembarque;Internacional;3613611,59
SBGL;2042;Tendencial;Desembarque;Internacional;3666005,691
SBGL;2043;Tendencial;Desembarque;Internacional;3719345,231
SBGL;2044;Tendencial;Desembarque;Internacional;3773114,844
SBGL;2045;Tendencial;Desembarque;Internacional;3828092,683
SBGL;2046;Tendencial;Desembarque;Internacional;3882862,525
SBGL;2047;Tendencial;Desembarque;Internacional;3938383,671
SBGL;2048;Tendencial;Desembarque;Internacional;3994111,272
SBGL;2049;Tendencial;Desembarque;Internacional;4050484,251
SBGL;2050;Tendencial;Desembarque;Internacional;4107706,588
SBGL;2051;Tendencial;Desembarque;Internacional;4165928,457
SBGL;2052;Tendencial;Desembarque;Internacional;4225207,969
SBGL;2053;Tendencial;Desembarque;Internacional;4285577,212
SBGL;2054;Tendencial;Desembarque;Internacional;4347061,884
SBFL;2025;Tendencial;Desembarque;Internacional;568418,8579
SBFL;2026;Tendencial;Desembarque;Internacional;589531,625
SBFL;2027;Tendencial;Desembarque;Internacional;604214,6717
SBFL;2028;Tendencial;Desembarque;Internacional;616861,7852
SBFL;2029;Tendencial;Desembarque;Internacional;628938,3512
SBFL;2030;Tendencial;Desembarque;Internacional;640705,5178
SBFL;2031;Tendencial;Desembarque;Internacional;652395,7737
SBFL;2032;Tendencial;Desembarque;Internacional;664064,7158
SBFL;2033;Tendencial;Desembarque;Internacional;675907,4655
SBFL;2034;Tendencial;Desembarque;Internacional;687979,9519
SBFL;2035;Tendencial;Desembarque;Internacional;700301,4261
SBFL;2036;Tendencial;Desembarque;Internacional;713079,6062
SBFL;2037;Tendencial;Desembarque;Internacional;726184,0819
SBFL;2038;Tendencial;Desembarque;Internacional;739586,7278
SBFL;2039;Tendencial;Desembarque;Internacional;753286,0592
SBFL;2040;Tendencial;Desembarque;Internacional;767287,9914
SBFL;2041;Tendencial;Desembarque;Internacional;781600,3611
SBFL;2042;Tendencial;Desembarque;Internacional;796231,8112
SBFL;2043;Tendencial;Desembarque;Internacional;811191,1405
SBFL;2044;Tendencial;Desembarque;Internacional;826299,7914
SBFL;2045;Tendencial;Desembarque;Internacional;841695,6718
SBFL;2046;Tendencial;Desembarque;Internacional;856787,1797
SBFL;2047;Tendencial;Desembarque;Internacional;872031,8705
SBFL;2048;Tendencial;Desembarque;Internacional;887142,1153
SBFL;2049;Tendencial;Desembarque;Internacional;902442,6912
SBFL;2050;Tendencial;Desembarque;Internacional;918023,6648
SBFL;2051;Tendencial;Desembarque;Internacional;933913,3901
SBFL;2052;Tendencial;Desembarque;Internacional;950124,1045
SBFL;2053;Tendencial;Desembarque;Internacional;966663,73
SBFL;2054;Tendencial;Desembarque;Internacional;983539,1162
SBKP;2025;Tendencial;Desembarque;Internacional;502852,5124
SBKP;2026;Tendencial;Desembarque;Internacional;528355,5458
SBKP;2027;Tendencial;Desembarque;Internacional;542259,7565
SBKP;2028;Tendencial;Desembarque;Internacional;553015,3701
SBKP;2029;Tendencial;Desembarque;Internacional;562999,5519
SBKP;2030;Tendencial;Desembarque;Internacional;572791,3816
SBKP;2031;Tendencial;Desembarque;Internacional;582186,7161
SBKP;2032;Tendencial;Desembarque;Internacional;591485,4446
SBKP;2033;Tendencial;Desembarque;Internacional;600884,3641
SBKP;2034;Tendencial;Desembarque;Internacional;610359,7635
SBKP;2035;Tendencial;Desembarque;Internacional;619914,3659
SBKP;2036;Tendencial;Desembarque;Internacional;629629,171
SBKP;2037;Tendencial;Desembarque;Internacional;639586,6065
SBKP;2038;Tendencial;Desembarque;Internacional;649794,5758
SBKP;2039;Tendencial;Desembarque;Internacional;660095,3686
SBKP;2040;Tendencial;Desembarque;Internacional;670649,7707
SBKP;2041;Tendencial;Desembarque;Internacional;681330,69
SBKP;2042;Tendencial;Desembarque;Internacional;692103,5985
SBKP;2043;Tendencial;Desembarque;Internacional;703077,6276
SBKP;2044;Tendencial;Desembarque;Internacional;714204,3242
SBKP;2045;Tendencial;Desembarque;Internacional;725642,4974
SBKP;2046;Tendencial;Desembarque;Internacional;737173,1741
SBKP;2047;Tendencial;Desembarque;Internacional;748892,6932
SBKP;2048;Tendencial;Desembarque;Internacional;760847,4697
SBKP;2049;Tendencial;Desembarque;Internacional;772950,0385
SBKP;2050;Tendencial;Desembarque;Internacional;785196,7738
SBKP;2051;Tendencial;Desembarque;Internacional;797615,5007
SBKP;2052;Tendencial;Desembarque;Internacional;810213,479
SBKP;2053;Tendencial;Desembarque;Internacional;822993,2309
SBKP;2054;Tendencial;Desembarque;Internacional;835957,5138
SBRF;2025;Tendencial;Desembarque;Internacional;244137,3328
SBRF;2026;Tendencial;Desembarque;Internacional;253919,9498
SBRF;2027;Tendencial;Desembarque;Internacional;260901,3158
SBRF;2028;Tendencial;Desembarque;Internacional;265792,7636
SBRF;2029;Tendencial;Desembarque;Internacional;270002,3982
SBRF;2030;Tendencial;Desembarque;Internacional;273563,681
SBRF;2031;Tendencial;Desembarque;Internacional;277066,3156
SBRF;2032;Tendencial;Desembarque;Internacional;280775,1103
SBRF;2033;Tendencial;Desembarque;Internacional;284707,423
