ICAO;cenario;Ano; Carga (kg) 
SBAQ;Pessimista;2024;8450
SBAR;Tendencial;2025;3577104,821
SBAR;Tendencial;2026;3375179,005
SBAR;Tendencial;2027;3299688,262
SBAR;Tendencial;2028;3282924,458
SBAR;Tendencial;2029;3295978,953
SBAR;Tendencial;2030;3324982,568
SBAR;Tendencial;2031;3362822,889
SBAR;Tendencial;2032;3405732,019
SBAR;Tendencial;2033;3451665,944
SBAR;Tendencial;2034;3499527,44
SBAR;Tendencial;2035;3548726,579
SBAR;Tendencial;2036;3598974,749
SBAR;Tendencial;2037;3650134,779
SBAR;Tendencial;2038;3702164,681
SBAR;Tendencial;2039;3755062,538
SBAR;Tendencial;2040;3808853,394
SBAR;Tendencial;2041;3863563,903
SBAR;Tendencial;2042;3919226,119
SBAR;Tendencial;2043;3975863,337
SBAR;Tendencial;2044;4033498,212
SBAR;Tendencial;2045;4092145,049
SBAR;Tendencial;2046;4151818,364
SBAR;Tendencial;2047;4212527,124
SBAR;Tendencial;2048;4274282,917
SBAR;Tendencial;2049;4337094,519
SBAR;Tendencial;2050;4400974,623
SBAR;Tendencial;2051;4465935,034
SBAR;Tendencial;2052;4531992,51
SBAR;Tendencial;2053;4599164,218
SBAR;Tendencial;2054;4667472,646
SBAR;Pessimista;2025;3577104,821
SBAR;Pessimista;2026;3362376,024
SBAR;Pessimista;2027;3271815,36
SBAR;Pessimista;2028;3238252,22
SBAR;Pessimista;2029;3233118,973
SBAR;Pessimista;2030;3242789,568
SBAR;Pessimista;2031;3260326,196
SBAR;Pessimista;2032;3282082,296
SBAR;Pessimista;2033;3306095,588
SBAR;Pessimista;2034;3331320,384
SBAR;Pessimista;2035;3357197,372
SBAR;Pessimista;2036;3383452,321
SBAR;Pessimista;2037;3409952,262
SBAR;Pessimista;2038;3436651,32
SBAR;Pessimista;2039;3463539,14
SBAR;Pessimista;2040;3490628,551
SBAR;Pessimista;2041;3517932,676
SBAR;Pessimista;2042;3545468,483
SBAR;Pessimista;2043;3573244,448
SBAR;Pessimista;2044;3601267,96
SBAR;Pessimista;2045;3629538,817
SBAR;Pessimista;2046;3658056,802
SBAR;Pessimista;2047;3686816,853
SBAR;Pessimista;2048;3715816,087
SBAR;Pessimista;2049;3745049,21
SBAR;Pessimista;2050;3774514,157
SBAR;Pessimista;2051;3804208,037
SBAR;Pessimista;2052;3834131,901
SBAR;Pessimista;2053;3864286,934
SBAR;Pessimista;2054;3894678,358
SBAR;Transformador;2025;3577104,821
SBAR;Transformador;2026;3386599,903
SBAR;Transformador;2027;3324705,258
SBAR;Transformador;2028;3323288,204
SBAR;Transformador;2029;3353174,983
SBAR;Transformador;2030;3400308,406
SBAR;Transformador;2031;3457442,864
SBAR;Transformador;2032;3520721,213
SBAR;Transformador;2033;3588043,721
SBAR;Transformador;2034;3658283,747
SBAR;Transformador;2035;3730840,625
SBAR;Transformador;2036;3805429,961
SBAR;Transformador;2037;3881928,511
SBAR;Transformador;2038;3960316,246
SBAR;Transformador;2039;4040618,07
SBAR;Transformador;2040;4122890,11
SBAR;Transformador;2041;4207192,039
SBAR;Transformador;2042;4293591,192
SBAR;Transformador;2043;4382146,601
SBAR;Transformador;2044;4472917,856
SBAR;Transformador;2045;4565956,184
SBAR;Transformador;2046;4661314
SBAR;Transformador;2047;4759038,207
SBAR;Transformador;2048;4859179,55
SBAR;Transformador;2049;4961786,311
SBAR;Transformador;2050;5066912,207
SBAR;Transformador;2051;5174610,802
SBAR;Transformador;2052;5284942,535
SBAR;Transformador;2053;5397969,413
SBAR;Transformador;2054;5513761,062
SBAR;Observado;2004;2172959
SBAR;Observado;2005;1877129
SBAR;Observado;2006;1917837
SBAR;Observado;2007;1805388
SBAR;Observado;2008;2078390
SBAR;Observado;2009;2057921
SBAR;Observado;2010;2832273
SBAR;Observado;2011;2846569
SBAR;Observado;2012;2736404
SBAR;Observado;2013;2798717
SBAR;Observado;2014;3180565
SBAR;Observado;2015;2847056
SBAR;Observado;2016;2791165
SBAR;Observado;2017;2915370
SBAR;Observado;2018;3102016
SBAR;Observado;2019;3069382
SBAR;Observado;2020;1421257
SBAR;Observado;2021;1845580
SBAR;Observado;2022;2299115
SBAR;Observado;2023;2524171
SBAR;Observado;2024;3301785
SBAR;Tendencial;2024;3301785
SBAR;Transformador;2024;3301785
SBAR;Pessimista;2024;3301785
SBAT;Tendencial;2025;60827,93543
SBAT;Tendencial;2026;57625,68753
SBAT;Tendencial;2027;56106,26636
SBAT;Tendencial;2028;55459,4012
SBAT;Tendencial;2029;55294,47033
SBAT;Tendencial;2030;55408,85123
SBAT;Tendencial;2031;55691,19423
SBAT;Tendencial;2032;56078,5615
