Cenário Projeção;Natureza;ICAO;Atributo;Valor
Pessimista;domestico;N861;2034;401,2305967
Pessimista;domestico;N861;2035;407,5682654
Pessimista;domestico;N861;2036;414,9996641
Pessimista;domestico;N861;2037;421,325318
Pessimista;domestico;N861;2038;428,2962553
Pessimista;domestico;N861;2039;434,8933265
Pessimista;domestico;N861;2040;442,939084
Pessimista;domestico;N861;2041;449,9653409
Pessimista;domestico;N861;2042;458,2207979
Pessimista;domestico;N861;2043;465,0004246
Pessimista;domestico;N861;2044;473,6087714
Pessimista;domestico;N861;2045;482,0976149
Pessimista;domestico;N861;2046;492,3027371
Pessimista;domestico;N861;2047;501,4635036
Pessimista;domestico;N861;2048;511,4289839
Pessimista;domestico;N861;2049;520,7076023
Pessimista;domestico;N861;2050;531,6401559
Pessimista;domestico;N861;2051;541,6189219
Pessimista;domestico;N861;2052;552,0172583
Pessimista;domestico;N861;2053;562,6571053
Pessimista;domestico;N861;2054;573,518876
Pessimista;domestico;N920;2025;233,5901172
Pessimista;domestico;N920;2026;224,9771719
Pessimista;domestico;N920;2027;225,5570033
Pessimista;domestico;N920;2028;227,5678902
Pessimista;domestico;N920;2029;229,7948582
Pessimista;domestico;N920;2030;232,093681
Pessimista;domestico;N920;2031;234,6830753
Pessimista;domestico;N920;2032;236,9825284
Pessimista;domestico;N920;2033;238,9932265
Pessimista;domestico;N920;2034;241,2917536
Pessimista;domestico;N920;2035;243,2925457
Pessimista;domestico;N920;2036;245,5903068
Pessimista;domestico;N920;2037;247,6009015
Pessimista;domestico;N920;2038;249,9114769
Pessimista;domestico;N920;2039;251,92158
Pessimista;domestico;N920;2040;254,2191606
Pessimista;domestico;N920;2041;256,5166075
Pessimista;domestico;N920;2042;258,5241074
Pessimista;domestico;N920;2043;261,0838783
Pessimista;domestico;N920;2044;263,3815451
Pessimista;domestico;N920;2045;265,6751057
Pessimista;domestico;N920;2046;268,2531442
Pessimista;domestico;N920;2047;270,5500768
Pessimista;domestico;N920;2048;272,8440898
Pessimista;domestico;N920;2049;275,4266835
Pessimista;domestico;N920;2050;278,0233923
Pessimista;domestico;N920;2051;280,6075817
Pessimista;domestico;N920;2052;283,1902534
Pessimista;domestico;N920;2053;286,0610898
Pessimista;domestico;N920;2054;288,9218382
Pessimista;domestico;SBAC;2025;358,2357801
Pessimista;domestico;SBAC;2026;389,2992817
Pessimista;domestico;SBAC;2027;395,0896482
Pessimista;domestico;SBAC;2028;399,762264
Pessimista;domestico;SBAC;2029;403,6462195
Pessimista;domestico;SBAC;2030;407,2474313
Pessimista;domestico;SBAC;2031;410,6468364
Pessimista;domestico;SBAC;2032;413,7235398
Pessimista;domestico;SBAC;2033;416,7349001
Pessimista;domestico;SBAC;2034;419,5736069
Pessimista;domestico;SBAC;2035;422,5702219
Pessimista;domestico;SBAC;2036;425,477056
Pessimista;domestico;SBAC;2037;428,5915754
Pessimista;domestico;SBAC;2038;431,7299373
Pessimista;domestico;SBAC;2039;435,1204607
Pessimista;domestico;SBAC;2040;438,4767095
Pessimista;domestico;SBAC;2041;442,1442024
Pessimista;domestico;SBAC;2042;445,7341638
Pessimista;domestico;SBAC;2043;449,5434645
Pessimista;domestico;SBAC;2044;453,5227664
Pessimista;domestico;SBAC;2045;457,4955224
Pessimista;domestico;SBAC;2046;461,8438323
Pessimista;domestico;SBAC;2047;466,1333513
Pessimista;domestico;SBAC;2048;470,7262838
Pessimista;domestico;SBAC;2049;475,2187884
Pessimista;domestico;SBAC;2050;479,7738607
Pessimista;domestico;SBAC;2051;484,6863723
Pessimista;domestico;SBAC;2052;489,7688854
Pessimista;domestico;SBAC;2053;494,9917188
Pessimista;domestico;SBAC;2054;500,1962002
Pessimista;domestico;SBAE;2025;1212,872205
Pessimista;domestico;SBAE;2026;1284,768385
Pessimista;domestico;SBAE;2027;1334,331784
Pessimista;domestico;SBAE;2028;1363,940569
Pessimista;domestico;SBAE;2029;1383,959276
Pessimista;domestico;SBAE;2030;1400,426456
Pessimista;domestico;SBAE;2031;1413,228521
Pessimista;domestico;SBAE;2032;1425,493943
Pessimista;domestico;SBAE;2033;1435,867355
Pessimista;domestico;SBAE;2034;1446,706475
Pessimista;domestico;SBAE;2035;1456,351192
Pessimista;domestico;SBAE;2036;1466,887894
Pessimista;domestico;SBAE;2037;1476,640195
Pessimista;domestico;SBAE;2038;1486,952472
Pessimista;domestico;SBAE;2039;1497,173767
Pessimista;domestico;SBAE;2040;1508,609533
